"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.195908333E-1,-1.792727668E0,3.688668632E0,-5.225574768E-1,4.134394162E0
6.296158333E-1,-1.409502908E0,2.762090773E0,-9.831685642E-2,3.102500619E0
6.396398332E-1,-1.048483534E0,2.064194595E0,2.698741454E-1,2.330890195E0
6.496648332E-1,-5.871931833E-1,1.495076324E0,2.530885434E-1,1.626069759E0
6.596898332E-1,-3.136803156E-1,1.297836292E0,1.098861390E-1,1.339719875E0
6.697138334E-1,-8.469165623E-2,1.385648607E0,1.572023928E-1,1.397106772E0
6.797388333E-1,-1.512791634E-2,1.693203964E0,6.976539575E-2,1.694708154E0
6.897628333E-1,3.810811704E-1,1.930725465E0,2.891149932E-1,1.989098077E0
6.997878333E-1,9.366765851E-1,1.621582589E0,3.380128457E-1,1.902930845E0
7.098118332E-1,1.328987918E0,1.219039798E0,9.679480791E-2,1.806000042E0
7.198368332E-1,1.701360830E0,1.182330979E0,-5.475742042E-2,2.072566909E0
7.298608334E-1,2.211363750E0,1.428564246E0,-2.403315268E-2,2.632774778E0
7.398858333E-1,2.679395356E0,1.084093078E0,1.238322600E-1,2.893052316E0
7.499098333E-1,2.958904544E0,4.663581330E-1,-3.306775868E-1,3.013627992E0
7.599348333E-1,3.364693124E0,-1.306981337E-1,-4.459088118E-1,3.396627222E0
7.699598332E-1,3.959043299E0,-1.203178056E0,2.441715395E-1,4.145030883E0
7.799838332E-1,4.280462404E0,-2.079785610E0,8.982111154E-1,4.843000082E0
7.900088332E-1,4.178672320E0,-2.616798574E0,1.100058608E-1,4.931636485E0
8.000328334E-1,4.157543991E0,-2.919940453E0,-7.293718133E-1,5.132563446E0
8.100578333E-1,3.981473803E0,-2.937475083E0,-4.018230716E-1,4.964106696E0
8.200818333E-1,3.835796272E0,-3.062844064E0,-1.285634761E0,5.074170232E0
8.301068333E-1,3.407669574E0,-3.469520836E0,-9.428196698E-1,4.953654781E0
8.401308332E-1,2.031789325E0,-2.917071809E0,4.197376978E-1,3.579616674E0
8.501558332E-1,1.462648836E0,-1.693225014E0,3.921932191E-1,2.271600336E0
8.601798334E-1,1.533072701E0,-1.149308828E0,-1.125162897E-1,1.919344316E0
8.702048333E-1,1.411882140E0,-1.070442753E0,4.093160592E-2,1.772268112E0
8.802298333E-1,1.180069275E0,-1.102501282E0,4.147300693E-1,1.667355272E0
8.902538333E-1,1.108119872E0,-1.082881535E0,7.530622461E-1,1.722691155E0
9.002788332E-1,1.035136095E0,-1.074484348E0,1.025625526E0,1.810505750E0
9.103028332E-1,1.036062879E0,-1.407238281E0,6.779127342E-1,1.874382977E0
9.203278334E-1,8.515650988E-1,-1.673206487E0,-7.584072590E-2,1.878971761E0
9.303518333E-1,8.071578348E-1,-1.213863258E0,-7.411667436E-1,1.635327466E0
9.403768333E-1,1.031838266E0,-1.036519547E0,-8.876400805E-1,1.710838359E0
9.504008333E-1,1.121007720E0,-2.074958149E0,-1.144403599E0,2.621405964E0
9.604258332E-1,1.103927418E0,-2.579261788E0,-1.067112179E0,3.001662126E0
9.704498332E-1,8.435152370E-1,-2.204020232E0,-9.620669496E-1,2.548488955E0
9.804748332E-1,7.049309635E-1,-1.901932021E0,-1.016319755E0,2.268739501E0
9.904998334E-1,7.018097198E-1,-2.185311481E0,-6.969068295E-1,2.398708461E0
1.000523833E0,1.525328064E-1,-2.190192736E0,1.746154010E-1,2.202430707E0
1.010548833E0,-3.383146352E-1,-2.192233415E0,6.494011259E-1,2.311290972E0
1.020572833E0,-8.860578239E-1,-1.525475999E0,5.830504310E-1,1.857989046E0
1.030597833E0,-1.513368754E0,-2.813393658E-1,6.666071427E-1,1.677439092E0
1.040621833E0,-1.995406196E0,5.315732986E-1,7.518934608E-1,2.197625954E0
1.050646833E0,-2.285685369E0,9.433745706E-1,8.572719812E-1,2.617103062E0
1.060670833E0,-3.398151476E0,1.408590158E0,5.689142025E-1,3.722260477E0
1.070695833E0,-3.735087923E0,2.382257398E0,5.465556192E-1,4.463715397E0
1.080720833E0,-3.517727036E0,2.796746051E0,1.037810794E-1,4.495215511E0
1.090744833E0,-3.587802408E0,2.844711930E0,-1.989959514E-1,4.583046091E0
