"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6.637690417E-1;4.245912377E0;1.754457641E0;-2.921915057E0;5.444582732E0
6.737540417E-1;3.337897673E0;1.887913760E0;-3.540335881E0;5.219172098E0
6.837380417E-1;3.024441306E0;1.618987302E0;-3.806862495E0;5.124506528E0
6.937220417E-1;2.678533477E0;1.621298853E0;-4.066540266E0;5.132241351E0
7.037060417E-1;1.252746365E0;4.447251892E-1;-4.707910826E0;4.891991240E0
7.136900417E-1;6.092740238E-1;-1.174867885E0;-4.995356439E0;5.167699230E0
7.236740417E-1;1.138466921E0;-9.733570459E-1;-4.333946301E0;4.585479409E0
7.336580417E-1;1.501127900E0;-7.971053016E-1;-3.178726523E0;3.604589317E0
7.436430416E-1;1.474271346E0;-4.586292833E-1;-2.370063615E0;2.828607141E0
7.536270416E-1;1.771709559E0;-4.210220388E-1;-2.632904145E0;3.201312005E0
7.636110416E-1;1.763873413E0;-3.203285998E-1;-3.200929570E0;3.668761363E0
7.735950416E-1;1.305933224E0;9.282951862E-2;-3.367239586E0;3.612807957E0
7.835790416E-1;6.757339154E-1;5.031227937E-1;-1.586140861E0;1.795993235E0
7.935630416E-1;-2.564879684E-1;8.542220736E-1;1.225210365E0;1.515460942E0
8.035480416E-1;-1.049471129E0;7.738234431E-1;3.348677600E0;3.593582341E0
8.135320416E-1;-1.622266275E0;-1.361498145E0;5.832536218E0;6.205151392E0
8.235160416E-1;1.014817898E-1;-2.892181381E0;7.377623193E0;7.924918654E0
8.335000416E-1;-5.516422583E-1;-1.352684929E0;8.986569364E0;9.104531544E0
8.434840416E-1;-6.549942800E-1;1.858869617E0;1.034180894E1;1.052793550E1
8.534680416E-1;-6.050441480E-1;3.515975211E0;1.394476265E1;1.439390724E1
8.634530416E-1;-1.233159509E0;3.796680154E0;1.561939703E1;1.612144616E1
8.734370416E-1;-6.343933699E-1;1.651972908E0;1.692211341E1;1.701438778E1
8.834210417E-1;7.845318145E-1;-1.516905735E0;1.645110849E1;1.653951220E1
8.934050417E-1;1.411841210E0;-2.239558439E0;1.478481926E1;1.501997997E1
9.033890417E-1;1.069690801E0;-4.420155895E-1;1.266029076E1;1.271308689E1
9.133730417E-1;-4.491073850E-1;1.027366315E0;9.949667763E0;1.001264538E1
9.233580417E-1;-2.347182291E0;2.397854261E0;6.665983719E0;7.462861964E0
9.333420417E-1;-3.302554471E0;3.676770718E0;4.018918787E0;6.370024895E0
9.433250417E-1;-3.887173125E0;4.707120867E0;9.972215796E-1;6.185592343E0
9.533090417E-1;-4.141994783E0;5.208967506E0;-1.564548263E0;6.836466523E0
9.632930417E-1;-4.536141264E0;4.477818212E0;-3.790513680E0;7.415890201E0
