"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.238912917E-1,3.702847545E0,4.494859922E-1,-1.153177931E0,3.904220401E0
6.338442913E-1,3.711447045E0,6.226088183E-1,-1.405416874E0,4.017172824E0
6.437962917E-1,3.041015823E0,5.035011086E-1,-1.372101778E-1,3.085468723E0
6.537492913E-1,1.591682413E0,3.160743850E-1,1.617173204E0,2.290983434E0
6.637022914E-1,3.508107197E-1,6.620235103E-1,2.844965115E0,2.941966994E0
6.736552916E-1,-7.772795860E-1,9.230579813E-1,3.699153274E0,3.891006880E0
6.836072914E-1,-1.552590561E0,1.157325215E0,4.295016124E0,4.711380117E0
6.935602915E-1,-1.731107955E0,1.361026713E0,4.393166317E0,4.914167147E0
7.035132917E-1,-1.496043746E0,1.375549004E0,4.053477586E0,4.534419752E0
7.134662913E-1,-1.171156145E0,1.244403266E0,3.732805755E0,4.105360521E0
7.234192914E-1,-7.889483627E-1,1.137207284E0,3.252574518E0,3.534815543E0
7.333712913E-1,-4.070700706E-1,1.230400792E0,2.320416076E0,2.657804154E0
7.433242914E-1,-5.130887881E-1,1.702340823E0,1.079391332E0,2.079978373E0
7.532772915E-1,-7.448306090E-1,2.360243070E0,1.271973472E0,2.782703092E0
7.632302917E-1,-7.577088822E-1,2.435695833E0,2.015732871E0,3.251140715E0
7.731819167E-1,-1.329014523E0,2.212406747E0,2.705837635E0,3.739328887E0
7.831349163E-1,-1.600596932E0,1.708674089E0,1.978235847E0,3.065109255E0
7.930879164E-1,-1.357717481E0,1.338442427E0,1.159709271E0,2.231535454E0
8.030409166E-1,-1.125169987E0,1.286603644E0,1.028756198E0,1.994917480E0
8.129939167E-1,-1.105219872E0,1.515820053E0,6.955952990E-1,2.000768407E0
8.229459166E-1,-1.074810550E0,1.574142374E0,6.248545146E-1,2.005887608E0
8.328989167E-1,-1.098663316E0,1.547708282E0,1.038514616E0,2.163556012E0
8.428519163E-1,-1.119611112E0,1.581853829E0,1.387245482E0,2.383325535E0
8.528049164E-1,-1.051229241E0,1.544244391E0,1.482520598E0,2.384877561E0
8.627579166E-1,-9.345759729E-1,1.399816118E0,1.635983112E0,2.347202198E0
8.727099164E-1,-9.374744377E-1,1.315705090E0,1.900489513E0,2.494353342E0
8.826629166E-1,-1.112674999E0,1.400554037E0,2.087749518E0,2.749235405E0
8.926159167E-1,-1.210797563E0,1.420037544E0,1.982665697E0,2.722774437E0
9.025689163E-1,-1.272390963E0,1.327321754E0,1.753554831E0,2.540810175E0
9.125209167E-1,-1.193176979E0,1.166949293E0,1.802718220E0,2.456671516E0
9.224739163E-1,-1.117106165E0,1.118037919E0,2.153264061E0,2.671044943E0
9.324269164E-1,-1.207913863E0,1.299455386E0,2.556364092E0,3.111693682E0
9.423799166E-1,-1.407570696E0,1.422333746E0,3.270081666E0,3.833760902E0
9.523329167E-1,-1.511621021E0,1.322139951E0,3.203534505E0,3.780963566E0
9.622849165E-1,-1.618686171E0,1.200428988E0,3.495732150E0,4.035011517E0
9.722379167E-1,-1.616604562E0,9.395145312E-1,4.044829554E0,4.456090662E0
9.821909163E-1,-1.196689401E0,5.204054090E-1,4.586499240E0,4.768528346E0
9.921439164E-1,-7.462886122E-1,4.121219918E-1,4.836928470E0,4.911483304E0
1.002096917E0,-4.334005943E-1,7.724794605E-1,4.743504581E0,4.825494411E0
1.012048916E0,-2.838261867E-1,1.283134637E0,4.628594515E0,4.811536032E0
1.022001917E0,-3.456946984E-1,1.946070021E0,4.659524531E0,5.061409113E0
1.031954917E0,-5.982707334E-1,2.684385078E0,4.538408230E0,5.306693922E0
1.041907916E0,-1.016670881E0,3.261713716E0,4.121219333E0,5.353208836E0
1.051859917E0,-1.429786022E0,3.584756885E0,3.642100822E0,5.306568420E0
1.061812916E0,-1.719861713E0,3.639605815E0,3.345078054E0,5.233947075E0
1.071765916E0,-1.827153150E0,3.552547498E0,3.020970984E0,5.008527532E0
1.081718917E0,-1.699368976E0,3.399949788E0,2.727152490E0,4.678127208E0
1.091671917E0,-1.282468640E0,2.816431287E0,2.790157993E0,4.166772448E0
1.101623917E0,-7.109252366E-1,2.146258220E0,2.887601842E0,3.667435539E0
1.111576917E0,-1.503605658E-1,1.708549982E0,2.910538130E0,3.378310753E0
1.121529916E0,3.203856102E-1,1.228557019E0,3.073170247E0,3.325112728E0
1.131482916E0,6.506179315E-1,8.976905671E-1,3.025938193E0,3.222647048E0
1.141435917E0,8.456866005E-1,7.850518513E-1,2.881163473E0,3.103642246E0
1.151387916E0,8.106141239E-1,9.603370509E-1,2.868460397E0,3.131678073E0
1.161340917E0,5.116147050E-1,1.383878362E0,2.786057925E0,3.152616008E0
1.171293917E0,1.651341408E-2,1.734945483E0,2.533866345E0,3.070958673E0
1.181246916E0,-4.856521904E-1,1.975441462E0,2.238763218E0,3.024944259E0
1.191198917E0,-9.038848150E-1,2.153959880E0,1.873601092E0,2.994483591E0
1.201151916E0,-1.144703561E0,2.250193355E0,1.542378545E0,2.958487444E0
1.211104916E0,-1.193225218E0,2.315468162E0,1.149362038E0,2.847141079E0
1.221057917E0,-1.152585608E0,2.338675469E0,6.954081881E-1,2.698416032E0
1.231010917E0,-1.079477578E0,2.242770607E0,3.382304353E-1,2.511909964E0
1.240962917E0,-9.968572980E-1,2.102316394E0,-2.366192758E-2,2.326804371E0
1.250915917E0,-8.991444772E-1,1.932140199E0,-3.953290808E-1,2.167466637E0
1.260868916E0,-8.069888502E-1,1.715169615E0,-7.279608071E-1,2.030508495E0
1.270821916E0,-7.207424194E-1,1.477665655E0,-9.533867580E-1,1.900503021E0
1.280774917E0,-6.475648078E-1,1.304781030E0,-1.080212865E0,1.813464516E0
1.290726916E0,-5.562351000E-1,1.070349782E0,-1.079137563E0,1.618512904E0
1.300679917E0,-3.681614551E-1,7.873661792E-1,-1.126283662E0,1.422674680E0
1.310632917E0,-2.519965759E-1,5.489512235E-1,-1.160224995E0,1.308041192E0
1.320585916E0,-1.683466011E-1,3.324387681E-1,-1.218822867E0,1.274513748E0
1.330538916E0,-8.047347486E-2,1.240334773E-1,-1.393961009E0,1.401780146E0
1.340490916E0,-1.373832554E-2,-3.849602133E-2,-1.561869069E0,1.562403812E0
1.350443916E0,4.952387005E-2,-7.420204371E-2,-1.659304147E0,1.661700577E0
1.360396917E0,3.901642352E-2,-2.182996568E-1,-1.781625559E0,1.795373681E0
1.370349917E0,1.848320948E-1,-3.576567860E-1,-1.547240505E0,1.598760288E0
1.380301917E0,2.971669015E-1,-2.467308658E-1,-1.351143018E0,1.405265720E0
1.390254917E0,4.415941514E-1,-1.686826698E-1,-1.231472148E0,1.319084110E0
1.400207916E0,5.781183046E-1,-1.252061364E-1,-1.147848778E0,1.291299411E0
1.410160916E0,6.346958171E-1,-2.242322418E-1,-1.071359596E0,1.265278729E0
1.420113917E0,7.033824746E-1,-4.139132863E-1,-1.083211318E0,1.356251405E0
1.430065916E0,7.443055290E-1,-6.178717697E-1,-1.156476930E0,1.507711887E0
1.440018917E0,7.865594096E-1,-9.351981166E-1,-1.147503208E0,1.676315852E0
1.449971917E0,8.229229514E-1,-1.201666844E0,-1.146593966E0,1.853613528E0
1.459924916E0,8.195954472E-1,-1.319613369E0,-1.103088927E0,1.905235241E0
1.469877916E0,8.053957763E-1,-1.378383295E0,-9.201441675E-1,1.842625343E0
1.479829916E0,8.579591753E-1,-1.416117863E0,-6.438193738E-1,1.776509818E0
1.489782916E0,9.398302808E-1,-1.389608195E0,-3.099825364E-1,1.705983900E0
1.499735916E0,9.771853642E-1,-1.314723928E0,-1.676689088E-1,1.646664236E0
1.509688917E0,8.874301654E-1,-1.315061604E0,-1.840218168E-1,1.597117200E0
1.519641916E0,7.401244774E-1,-1.382765199E0,-9.780111372E-2,1.571428934E0
1.529593917E0,6.175058801E-1,-1.396493292E0,-7.613834918E-2,1.528824409E0
1.539546916E0,6.173512213E-1,-1.351955635E0,-1.324786109E-1,1.492131747E0
1.549499916E0,7.316477689E-1,-1.381652620E0,4.369624257E-2,1.564027423E0
1.559452916E0,9.412776129E-1,-1.828120425E0,4.967572224E-1,2.115371261E0
1.569405917E0,1.220038210E0,-2.723155918E0,1.078651074E0,3.172941778E0
1.579357916E0,1.368476066E0,-3.557264155E0,1.563168320E0,4.119508491E0
1.589310917E0,1.329730514E0,-3.813020782E0,1.886059754E0,4.456964452E0
1.599263916E0,1.163380445E0,-3.473082960E0,2.015608910E0,4.180722257E0
1.609216916E0,8.332080576E-1,-2.805381511E0,2.185353581E0,3.652419932E0
1.619169916E0,3.190512756E-1,-1.991937773E0,2.027133772E0,2.859874323E0
1.629121916E0,-3.902417108E-1,-1.171861977E0,1.921905525E0,2.284572156E0
1.639074916E0,-8.437080489E-1,-3.125240287E-1,2.149044126E0,2.329786513E0
1.649027917E0,-9.515799683E-1,5.137077159E-1,2.097457650E0,2.359815384E0
1.658980916E0,-6.024074923E-1,1.174097514E0,1.898693249E0,2.312236106E0
1.668933916E0,-3.471373527E-1,1.004666547E0,7.993664199E-1,1.329979656E0
1.678885916E0,3.020063496E-1,6.054481906E-1,8.064959300E-1,1.052716026E0
1.688838916E0,7.335617088E-1,5.658862218E-1,9.870018160E-1,1.353703284E0
1.698791916E0,9.298829976E-1,6.184719864E-1,8.978569204E-1,1.432946976E0
1.708744917E0,1.136997808E0,4.530583486E-1,1.203827097E0,1.716748544E0
1.718697916E0,1.069409696E0,4.216164082E-1,1.421431228E0,1.828076648E0
1.728649917E0,8.932713877E-1,3.971469802E-1,1.544893432E0,1.828210932E0
1.738602916E0,7.724549022E-1,3.285918850E-1,1.479391168E0,1.700957798E0
1.748555916E0,7.891171280E-1,2.846775413E-1,1.235122565E0,1.493075649E0
1.758508916E0,7.147952163E-1,3.073030499E-1,1.013918304E0,1.278044480E0
1.768461292E0,4.611038250E-1,5.518754160E-1,7.054893726E-1,1.007421693E0
1.778413292E0,1.931355795E-1,8.952107629E-1,2.910287869E-1,9.609377799E-1
1.788366292E0,1.330972463E-2,1.239692456E0,-2.434950167E-1,1.263449389E0
1.798319291E0,-1.417613581E-1,1.537645224E0,-7.890677190E-1,1.734092553E0
1.808272291E0,-2.285977730E-1,1.738119059E0,-1.201740811E0,2.125440138E0
1.818225292E0,-2.788136610E-1,1.849013550E0,-1.531826075E0,2.417246220E0
1.828177291E0,-3.874268612E-1,1.889182460E0,-1.681145251E0,2.558389981E0
1.838130292E0,-4.978829576E-1,1.866331834E0,-1.614031495E0,2.517176915E0
1.848083292E0,-4.718187015E-1,1.845607255E0,-1.500184452E0,2.424754094E0
1.858036291E0,-2.706317984E-1,1.835301830E0,-1.507466574E0,2.390403700E0
1.867989291E0,1.144943297E-2,1.723309523E0,-1.481469854E0,2.272593173E0
